model,task,replicate,metric,value
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,2,train/loss,0.012683211825788021
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,2,test/accuracy,0.9520800113677979
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,2,test/mcc,0.008976466559706499
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,2,test/loss,0.1402789056301117
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,2,wandb,runtime, 299
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,timer/validation,2.006587028503418
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,timestamp,1715386883.5521111
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,runtime,278.65642523765564
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,step,2186
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,timer/step,0.03560662269592285
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,trainer/globalstep,5260
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,trainer/lr/pg1,2.5431088148421133e-05
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,trainer/lr/pg2,2.5431088148421133e-05
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,trainer/loss,0.0031177583150565624
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,trainer/epoch,19.0
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,epoch,10
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,val/accuracy,0.9473333358764648
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,val/mcc,0.894979783523795
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,val/loss,0.26367130875587463
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,timer/epoch,11.171355724334717
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,train/accuracy,0.9969254732131958
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,train/mcc,0.9938603148601984
